   W [GeV]        F1        F2        FL        g1        g2      H1/2      H3/2        A1        A2sigT [mub]sigL [mub]  dXS [nb]
      1.64    0.0040    0.0081    0.0038    0.0029   -0.0030    0.0078    0.0002    0.9444   -0.0113    0.5000    0.2847    0.0058
      1.65    0.0041    0.0083    0.0040    0.0030   -0.0030    0.0079    0.0002    0.9393   -0.0075    0.4984    0.2948    0.0059
      1.66    0.0042    0.0086    0.0041    0.0031   -0.0031    0.0082    0.0003    0.9360   -0.0050    0.5078    0.3033    0.0061
      1.67    0.0045    0.0091    0.0043    0.0033   -0.0033    0.0087    0.0003    0.9353   -0.0046    0.5280    0.3101    0.0065
      1.68    0.0048    0.0096    0.0044    0.0035   -0.0036    0.0093    0.0003    0.9374   -0.0061    0.5573    0.3146    0.0068
      1.69    0.0052    0.0101    0.0045    0.0038   -0.0039    0.0101    0.0003    0.9416   -0.0085    0.5921    0.3156    0.0073
      1.70    0.0056    0.0106    0.0045    0.0041   -0.0042    0.0109    0.0003    0.9468   -0.0100    0.6252    0.3115    0.0076
      1.71    0.0059    0.0109    0.0044    0.0044   -0.0045    0.0115    0.0003    0.9515   -0.0093    0.6471    0.3016    0.0079
      1.72    0.0060    0.0109    0.0042    0.0045   -0.0046    0.0118    0.0003    0.9552   -0.0071    0.6498    0.2869    0.0080
      1.73    0.0059    0.0106    0.0040    0.0045   -0.0045    0.0116    0.0003    0.9576   -0.0046    0.6304    0.2694    0.0078
      1.74    0.0057    0.0101    0.0038    0.0043   -0.0043    0.0111    0.0002    0.9587   -0.0031    0.5923    0.2511    0.0074
      1.75    0.0053    0.0094    0.0036    0.0040   -0.0040    0.0103    0.0002    0.9589   -0.0028    0.5423    0.2332    0.0069
      1.76    0.0048    0.0087    0.0034    0.0036   -0.0037    0.0094    0.0002    0.9585   -0.0034    0.4877    0.2162    0.0063
      1.77    0.0044    0.0079    0.0032    0.0033   -0.0033    0.0085    0.0002    0.9577   -0.0048    0.4343    0.2004    0.0058
      1.78    0.0039    0.0072    0.0030    0.0030   -0.0030    0.0077    0.0002    0.9566   -0.0066    0.3854    0.1857    0.0053
      1.79    0.0035    0.0066    0.0028    0.0027   -0.0027    0.0069    0.0002    0.9555   -0.0086    0.3426    0.1721    0.0048
      1.80    0.0032    0.0061    0.0026    0.0024   -0.0025    0.0063    0.0001    0.9544   -0.0108    0.3059    0.1596    0.0044
      1.81    0.0029    0.0056    0.0025    0.0022   -0.0023    0.0057    0.0001    0.9534   -0.0130    0.2747    0.1480    0.0040
      1.82    0.0027    0.0052    0.0023    0.0020   -0.0021    0.0053    0.0001    0.9525   -0.0151    0.2483    0.1374    0.0037
      1.83    0.0025    0.0048    0.0022    0.0019   -0.0020    0.0049    0.0001    0.9517   -0.0172    0.2259    0.1276    0.0034
      1.84    0.0023    0.0045    0.0020    0.0017   -0.0018    0.0045    0.0001    0.9511   -0.0192    0.2067    0.1186    0.0032
      1.85    0.0022    0.0042    0.0019    0.0016   -0.0017    0.0042    0.0001    0.9505   -0.0211    0.1902    0.1104    0.0030
      1.86    0.0020    0.0039    0.0018    0.0015   -0.0016    0.0039    0.0001    0.9501   -0.0229    0.1759    0.1028    0.0028
      1.87    0.0019    0.0037    0.0017    0.0014   -0.0015    0.0037    0.0001    0.9497   -0.0246    0.1634    0.0958    0.0026
      1.88    0.0018    0.0035    0.0016    0.0014   -0.0015    0.0035    0.0001    0.9495   -0.0262    0.1525    0.0895    0.0025
      1.89    0.0017    0.0033    0.0015    0.0013   -0.0014    0.0033    0.0001    0.9493   -0.0277    0.1428    0.0836    0.0024
      1.90    0.0016    0.0031    0.0014    0.0012   -0.0013    0.0032    0.0001    0.9492   -0.0291    0.1342    0.0782    0.0022
      1.91    0.0016    0.0030    0.0014    0.0012   -0.0013    0.0030    0.0001    0.9491   -0.0305    0.1264    0.0732    0.0021
      1.92    0.0015    0.0028    0.0013    0.0011   -0.0012    0.0029    0.0001    0.9491   -0.0317    0.1195    0.0687    0.0020
      1.93    0.0014    0.0027    0.0012    0.0011   -0.0012    0.0028    0.0001    0.9491   -0.0329    0.1132    0.0645    0.0019
