# x  u(x)  d(x)  ubar(x)  dbar(x)
1.3719574897e-03 3.1750281553e+02 2.9751781213e+02 2.8128012251e+02 2.8654306087e+02
1.4143781751e-03 3.0687531238e+02 2.8726318920e+02 2.7109637546e+02 2.7630493109e+02
1.4581105006e-03 2.9662326235e+02 2.7737868994e+02 2.6128328551e+02 2.6643759504e+02
1.5031950221e-03 2.8673255397e+02 2.6785027050e+02 2.5182628791e+02 2.5692651694e+02
1.5496735490e-03 2.7718963224e+02 2.5866444009e+02 2.4271143611e+02 2.4775777662e+02
1.5975891838e-03 2.6798147621e+02 2.4980823883e+02 2.3392537442e+02 2.3891804234e+02
1.6469863617e-03 2.5909557726e+02 2.4126921643e+02 2.2545531196e+02 2.3039454493e+02
1.6979108917e-03 2.5052125544e+02 2.3303676974e+02 2.1729098386e+02 2.2217701113e+02
1.7504099993e-03 2.4225142493e+02 2.2510388762e+02 2.0942762544e+02 2.1426057979e+02
1.8045323700e-03 2.3427302665e+02 2.1745742633e+02 2.0185181352e+02 2.0663184049e+02
1.8603281950e-03 2.2657300302e+02 2.1008424481e+02 1.9454988393e+02 1.9927715345e+02
1.9178492171e-03 2.1913897978e+02 2.0297190021e+02 1.8750893262e+02 1.9218363702e+02
1.9771487792e-03 2.1195922975e+02 1.9610861050e+02 1.8071677349e+02 1.8533912572e+02
2.0382818733e-03 2.0502263838e+02 1.8948321907e+02 1.7416189853e+02 1.7873213047e+02
2.1013051920e-03 1.9831867105e+02 1.8308516112e+02 1.6783343995e+02 1.7235180085e+02
2.1662771807e-03 1.9183598162e+02 1.7690286951e+02 1.6172007074e+02 1.6618687355e+02
2.2332580919e-03 1.8556285787e+02 1.7092409021e+02 1.5581131546e+02 1.6022701246e+02
2.3023100411e-03 1.7949701643e+02 1.6514710644e+02 1.5010532574e+02 1.5447024484e+02
2.3734970645e-03 1.7363661270e+02 1.5957068491e+02 1.4460054469e+02 1.4891488001e+02
2.4468851783e-03 1.6797942634e+02 1.5419315327e+02 1.3929501463e+02 1.4355884269e+02
2.5225424396e-03 1.6252289907e+02 1.4901244239e+02 1.3418641646e+02 1.3839971112e+02
2.6005390103e-03 1.5726416988e+02 1.4402612611e+02 1.2927210650e+02 1.3343475280e+02
2.6809472212e-03 1.5220010800e+02 1.3923145823e+02 1.2454915088e+02 1.2866095781e+02
2.7638416400e-03 1.4732522460e+02 1.3462306979e+02 1.2001247736e+02 1.2407328656e+02
2.8492991397e-03 1.4262655038e+02 1.3018732736e+02 1.1564982208e+02 1.1965976388e+02
2.9373989703e-03 1.3809599186e+02 1.2591596343e+02 1.1145268370e+02 1.1541186543e+02
3.0282228322e-03 1.3372639125e+02 1.2180172124e+02 1.0741346219e+02 1.1132194490e+02
3.1218549520e-03 1.2951092999e+02 1.1783769721e+02 1.0352494962e+02 1.0738275530e+02
3.2183821606e-03 1.2544311232e+02 1.1401732354e+02 9.9780309831e+01 1.0358742799e+02
3.3178939736e-03 1.2151674966e+02 1.1033435172e+02 9.6173059125e+01 9.9929452818e+01
3.4204826745e-03 1.1772594570e+02 1.0678283678e+02 9.2697047840e+01 9.6402659234e+01
3.5262434000e-03 1.1406700225e+02 1.0335924974e+02 8.9349083629e+01 9.3003931582e+01
3.6352742286e-03 1.1053848584e+02 1.0006253994e+02 8.6129216102e+01 8.9733523290e+01
3.7476762714e-03 1.0713353434e+02 9.6885613249e+01 8.3030124932e+01 8.6584069906e+01
3.8635537656e-03 1.0384544895e+02 9.3821541420e+01 8.0044615770e+01 8.3548327803e+01
3.9830141717e-03 1.0066795610e+02 9.0863853017e+01 7.7165980688e+01 8.0619547221e+01
4.1061682726e-03 9.7595182084e+01 8.8006505754e+01 7.4387968230e+01 7.7791441710e+01
4.2331302768e-03 9.4621629157e+01 8.5243860327e+01 7.1704755100e+01 7.5058159253e+01
4.3640179239e-03 9.1742152799e+01 8.2570655678e+01 6.9110919420e+01 7.2414254990e+01
4.4989525941e-03 8.8952445833e+01 7.9982708196e+01 6.6602653131e+01 6.9856101095e+01
4.6380594208e-03 8.6250671387e+01 7.7478533814e+01 6.4179116636e+01 6.7383075233e+01
4.7814674061e-03 8.3635539757e+01 7.5056933721e+01 6.1838972832e+01 6.4993719575e+01
4.9293095413e-03 8.1105667267e+01 7.2716609431e+01 5.9580790946e+01 6.2686494481e+01
5.0817229294e-03 7.8659588198e+01 7.0456178089e+01 5.7403069409e+01 6.0459803787e+01
5.2388489127e-03 7.6295764934e+01 6.8274182710e+01 5.5304245038e+01 5.8312002870e+01
5.4008332040e-03 7.4012597410e+01 6.6169101732e+01 5.3282701575e+01 5.6241406145e+01
5.5678260212e-03 7.1808410867e+01 6.4139340053e+01 5.1336764240e+01 5.4246284481e+01
5.7399822271e-03 6.9679246582e+01 6.2181271688e+01 4.9463162094e+01 5.2323680095e+01
5.9174614727e-03 6.7621193323e+01 6.0291043683e+01 4.7658247604e+01 5.0470095111e+01
6.1004283455e-03 6.5631658114e+01 5.8465903666e+01 4.5919192118e+01 4.8682606086e+01
6.2890525220e-03 6.3708146919e+01 5.6703222721e+01 4.4243296267e+01 4.6958431375e+01
6.4835089250e-03 6.1848260819e+01 5.5000489699e+01 4.2627983825e+01 4.5294924007e+01
6.6839778860e-03 6.0049692331e+01 5.3355305786e+01 4.1070795854e+01 4.3689564902e+01
6.8906453121e-03 5.8310221875e+01 5.1765379311e+01 3.9569385136e+01 4.2139956433e+01
7.1037028589e-03 5.6627660668e+01 5.0228559670e+01 3.8121571525e+01 4.0643928360e+01
7.3233481077e-03 5.4999630979e+01 4.8743134418e+01 3.6725793528e+01 3.9200281221e+01
7.5497847492e-03 5.3424361297e+01 4.7307335628e+01 3.5380331061e+01 3.7807296703e+01
7.7832227720e-03 5.1900235580e+01 4.5919401589e+01 3.4083429697e+01 3.6463137717e+01
8.0238786576e-03 5.0425676772e+01 4.4577633754e+01 3.2833393705e+01 3.5166037037e+01
8.2719755810e-03 4.8999146475e+01 4.3280394520e+01 3.1628584171e+01 3.3914294534e+01
8.5277436179e-03 4.7619144576e+01 4.2026105077e+01 3.0467417188e+01 3.2706274520e+01
8.7914199577e-03 4.6284208842e+01 4.0813243335e+01 2.9348362093e+01 3.1540403209e+01
9.0632491237e-03 4.4992524436e+01 3.9640340316e+01 2.8269852954e+01 3.0415264228e+01
9.3434832000e-03 4.3742098553e+01 3.8505947701e+01 2.7230350396e+01 2.9329572428e+01
9.6323820649e-03 4.2531673952e+01 3.7408652288e+01 2.6228533539e+01 2.8281933970e+01
9.9302136321e-03 4.1360033964e+01 3.6347095983e+01 2.5263124557e+01 2.7271002716e+01
1.0237254099e-02 4.0225990523e+01 3.5319973740e+01 2.4332884833e+01 2.6295481190e+01
1.0553788204e-02 3.9128383996e+01 3.4326031445e+01 2.3436613919e+01 2.5354118785e+01
1.0880109488e-02 3.8066082976e+01 3.3364063884e+01 2.2573148531e+01 2.4445710023e+01
1.1216520568e-02 3.7037932705e+01 3.2432965419e+01 2.1741368779e+01 2.3569128181e+01
1.1563333421e-02 3.6042393824e+01 3.1531994976e+01 2.0940190547e+01 2.2723509254e+01
1.1920869666e-02 3.5078270948e+01 3.0659959119e+01 2.0168424157e+01 2.1907708290e+01
1.2289460869e-02 3.4144505134e+01 2.9815610576e+01 1.9424907151e+01 2.1120554144e+01
