# Q2	W	W1	W2
6.065000e+00	2.203561e+00	7.038197e-02	1.491972e-02
6.065000e+00	2.210619e+00	7.152462e-02	1.506830e-02
6.065000e+00	2.217677e+00	7.267713e-02	1.521654e-02
6.065000e+00	2.224735e+00	7.383949e-02	1.536440e-02
6.065000e+00	2.231793e+00	7.501168e-02	1.551187e-02
6.065000e+00	2.238851e+00	7.619369e-02	1.565894e-02
6.065000e+00	2.245909e+00	7.738550e-02	1.580560e-02
6.065000e+00	2.252967e+00	7.858709e-02	1.595182e-02
6.065000e+00	2.260025e+00	7.979843e-02	1.609760e-02
6.065000e+00	2.267083e+00	8.101951e-02	1.624292e-02
6.065000e+00	2.274141e+00	8.225032e-02	1.638776e-02
6.065000e+00	2.281199e+00	8.349082e-02	1.653211e-02
6.065000e+00	2.288258e+00	8.474101e-02	1.667596e-02
6.065000e+00	2.295316e+00	8.600087e-02	1.681930e-02
6.065000e+00	2.302374e+00	8.727037e-02	1.696211e-02
6.065000e+00	2.309432e+00	8.854949e-02	1.710437e-02
6.065000e+00	2.316490e+00	8.983822e-02	1.724608e-02
6.065000e+00	2.323548e+00	9.113655e-02	1.738722e-02
6.065000e+00	2.330606e+00	9.244444e-02	1.752777e-02
6.065000e+00	2.337664e+00	9.376188e-02	1.766774e-02
6.065000e+00	2.344722e+00	9.508886e-02	1.780710e-02
6.065000e+00	2.351780e+00	9.642535e-02	1.794584e-02
6.065000e+00	2.358838e+00	9.777133e-02	1.808395e-02
6.065000e+00	2.365896e+00	9.912679e-02	1.822142e-02
6.065000e+00	2.372955e+00	1.004917e-01	1.835824e-02
6.065000e+00	2.380013e+00	1.018661e-01	1.849439e-02
6.065000e+00	2.387071e+00	1.032498e-01	1.862987e-02
6.065000e+00	2.394129e+00	1.046430e-01	1.876467e-02
6.065000e+00	2.401187e+00	1.060456e-01	1.889876e-02
6.065000e+00	2.408245e+00	1.074575e-01	1.903215e-02
6.065000e+00	2.415303e+00	1.088787e-01	1.916482e-02
6.065000e+00	2.422361e+00	1.103093e-01	1.929676e-02
6.065000e+00	2.429419e+00	1.117491e-01	1.942796e-02
6.065000e+00	2.436477e+00	1.131981e-01	1.955840e-02
6.065000e+00	2.443535e+00	1.146562e-01	1.968806e-02
6.065000e+00	2.450593e+00	1.161232e-01	1.981694e-02
6.065000e+00	2.457652e+00	1.175992e-01	1.994500e-02
6.065000e+00	2.464710e+00	1.190839e-01	2.007225e-02
6.065000e+00	2.471768e+00	1.205773e-01	2.019866e-02
6.065000e+00	2.478826e+00	1.220794e-01	2.032423e-02
6.065000e+00	2.485884e+00	1.235899e-01	2.044892e-02
6.065000e+00	2.492942e+00	1.251089e-01	2.057274e-02
6.065000e+00	2.500000e+00	1.266362e-01	2.069567e-02
