x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
6.121273e-01	1.783914e-01	1.259942e-01	1.432033e-01	1.095927e-01	1.245616e-01	7.986832e-02	9.777911e-02
6.168548e-01	1.747808e-01	1.230013e-01	1.406770e-01	1.072023e-01	1.226076e-01	7.681457e-02	9.476697e-02
6.200000e-01	1.724070e-01	1.210414e-01	1.390195e-01	1.056296e-01	1.213186e-01	7.479839e-02	9.275000e-02
6.216249e-01	1.711898e-01	1.200388e-01	1.381707e-01	1.048228e-01	1.206564e-01	7.376182e-02	9.170419e-02
6.264380e-01	1.676235e-01	1.171100e-01	1.356879e-01	1.024575e-01	1.187110e-01	7.073968e-02	8.862759e-02
6.300000e-01	1.650233e-01	1.149829e-01	1.338817e-01	1.007316e-01	1.172881e-01	6.858466e-02	8.641667e-02
6.312944e-01	1.640879e-01	1.142192e-01	1.332330e-01	1.001104e-01	1.167754e-01	6.782514e-02	8.563547e-02
6.361942e-01	1.605929e-01	1.113731e-01	1.308133e-01	9.778722e-02	1.148560e-01	6.504422e-02	8.276198e-02
6.400000e-01	1.579179e-01	1.092037e-01	1.289647e-01	9.600837e-02	1.133816e-01	6.294488e-02	8.056944e-02
6.411378e-01	1.571239e-01	1.085614e-01	1.284164e-01	9.548038e-02	1.129429e-01	6.232090e-02	7.991246e-02
6.461254e-01	1.536735e-01	1.057792e-01	1.260359e-01	9.318629e-02	1.110314e-01	5.959843e-02	7.701595e-02
6.500000e-01	1.510294e-01	1.036566e-01	1.242139e-01	9.142849e-02	1.095607e-01	5.750385e-02	7.475500e-02
6.511574e-01	1.502460e-01	1.030293e-01	1.236744e-01	9.090773e-02	1.091239e-01	5.688268e-02	7.407918e-02
6.562338e-01	1.468459e-01	1.003146e-01	1.213350e-01	8.864769e-02	1.072233e-01	5.419788e-02	7.113306e-02
6.600000e-01	1.443629e-01	9.834038e-02	1.196286e-01	8.699742e-02	1.058302e-01	5.226768e-02	6.899333e-02
6.613551e-01	1.434786e-01	9.763881e-02	1.190214e-01	8.640962e-02	1.053331e-01	5.159011e-02	6.823860e-02
6.665213e-01	1.401525e-01	9.500749e-02	1.167401e-01	8.419860e-02	1.034587e-01	4.910786e-02	6.546221e-02
6.700000e-01	1.379507e-01	9.327225e-02	1.152316e-01	8.273507e-02	1.022136e-01	4.754229e-02	6.370667e-02
6.717328e-01	1.368632e-01	9.241741e-02	1.144868e-01	8.201252e-02	1.015972e-01	4.679717e-02	6.287108e-02
6.769898e-01	1.335968e-01	8.985922e-02	1.122494e-01	7.984420e-02	9.973893e-02	4.459560e-02	6.038291e-02
6.800000e-01	1.317508e-01	8.841939e-02	1.109849e-01	7.861984e-02	9.868436e-02	4.330474e-02	5.889444e-02
6.822925e-01	1.303573e-01	8.733533e-02	1.100303e-01	7.769613e-02	9.788625e-02	4.228010e-02	5.769342e-02
6.876410e-01	1.271485e-01	8.484837e-02	1.078322e-01	7.557098e-02	9.604176e-02	3.988336e-02	5.484939e-02
6.900000e-01	1.257529e-01	8.377062e-02	1.068762e-01	7.464739e-02	9.523657e-02	3.889734e-02	5.367833e-02
6.930357e-01	1.239755e-01	8.240140e-02	1.056586e-01	7.347175e-02	9.420862e-02	3.773956e-02	5.231147e-02
6.984766e-01	1.208450e-01	7.999877e-02	1.035146e-01	7.140253e-02	9.239152e-02	3.581591e-02	5.003405e-02
7.000000e-01	1.199816e-01	7.933806e-02	1.029235e-01	7.083211e-02	9.188889e-02	3.527103e-02	4.937944e-02
7.039640e-01	1.177579e-01	7.764073e-02	1.014005e-01	6.936404e-02	9.059091e-02	3.379031e-02	4.757285e-02
7.094981e-01	1.146992e-01	7.531731e-02	9.930265e-02	6.734847e-02	8.879607e-02	3.170626e-02	4.499087e-02
7.100000e-01	1.144245e-01	7.510928e-02	9.911409e-02	6.716767e-02	8.863435e-02	3.152387e-02	4.476389e-02
7.150789e-01	1.116717e-01	7.303018e-02	9.722292e-02	6.535768e-02	8.700875e-02	2.977089e-02	4.257787e-02
7.200000e-01	1.090511e-01	7.106053e-02	9.541992e-02	6.363796e-02	8.545291e-02	2.817824e-02	4.057667e-02
7.207066e-01	1.086787e-01	7.078135e-02	9.516346e-02	6.339381e-02	8.523113e-02	2.795367e-02	4.029267e-02
7.263815e-01	1.057243e-01	6.857318e-02	9.312706e-02	6.145927e-02	8.346588e-02	2.618002e-02	3.803305e-02
7.300000e-01	1.038755e-01	6.719712e-02	9.185108e-02	6.025062e-02	8.235597e-02	2.508752e-02	3.662778e-02
7.321035e-01	1.028139e-01	6.640893e-02	9.111790e-02	5.955722e-02	8.171686e-02	2.446999e-02	3.582926e-02
7.378728e-01	9.994914e-02	6.428939e-02	8.913696e-02	5.768875e-02	7.998519e-02	2.283604e-02	3.370028e-02
7.400000e-01	9.890727e-02	6.352153e-02	8.841500e-02	5.701055e-02	7.935244e-02	2.225191e-02	3.293283e-02
7.436896e-01	9.711767e-02	6.220638e-02	8.717271e-02	5.584745e-02	7.826164e-02	2.125842e-02	3.161924e-02
