x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
5.729317e-01	2.497436e-01	1.727410e-01	1.908282e-01	1.390443e-01	1.536032e-01	1.164211e-01	1.334031e-01
5.780150e-01	2.451988e-01	1.688824e-01	1.878857e-01	1.362001e-01	1.515259e-01	1.121012e-01	1.295927e-01
5.800000e-01	2.434416e-01	1.673960e-01	1.867530e-01	1.350995e-01	1.507218e-01	1.104310e-01	1.281000e-01
5.831554e-01	2.406699e-01	1.650576e-01	1.849722e-01	1.333621e-01	1.494525e-01	1.077932e-01	1.257199e-01
5.883534e-01	2.361681e-01	1.612746e-01	1.820956e-01	1.305364e-01	1.473890e-01	1.035491e-01	1.218466e-01
5.900000e-01	2.347613e-01	1.600958e-01	1.812010e-01	1.296521e-01	1.467440e-01	1.022458e-01	1.206500e-01
5.936096e-01	2.317035e-01	1.575401e-01	1.792629e-01	1.277289e-01	1.453410e-01	9.947067e-02	1.180940e-01
5.989247e-01	2.272440e-01	1.538326e-01	1.764485e-01	1.249243e-01	1.432903e-01	9.552699e-02	1.144271e-01
6.000000e-01	2.263484e-01	1.530907e-01	1.758850e-01	1.243611e-01	1.428778e-01	9.474074e-02	1.136889e-01
6.042994e-01	2.227911e-01	1.501531e-01	1.736527e-01	1.221244e-01	1.412373e-01	9.161468e-02	1.107253e-01
6.097342e-01	2.183519e-01	1.465068e-01	1.708800e-01	1.193333e-01	1.391859e-01	8.770372e-02	1.069519e-01
6.100000e-01	2.181365e-01	1.463304e-01	1.707459e-01	1.191979e-01	1.390863e-01	8.751366e-02	1.067667e-01
6.152298e-01	2.139349e-01	1.428993e-01	1.681359e-01	1.165562e-01	1.371405e-01	8.381441e-02	1.031298e-01
6.200000e-01	2.101666e-01	1.398369e-01	1.658073e-01	1.141862e-01	1.353928e-01	8.056452e-02	9.990000e-02
6.207868e-01	2.095517e-01	1.393384e-01	1.654285e-01	1.137993e-01	1.351074e-01	8.004503e-02	9.938193e-02
6.264059e-01	2.052093e-01	1.358285e-01	1.627624e-01	1.110669e-01	1.330907e-01	7.645528e-02	9.578443e-02
6.300000e-01	2.024623e-01	1.336199e-01	1.610810e-01	1.093402e-01	1.318114e-01	7.422840e-02	9.352778e-02
6.320877e-01	2.008768e-01	1.323494e-01	1.601122e-01	1.083445e-01	1.310718e-01	7.294455e-02	9.221466e-02
6.378328e-01	1.965582e-01	1.289039e-01	1.574799e-01	1.056350e-01	1.290527e-01	6.943554e-02	8.857665e-02
6.400000e-01	1.949466e-01	1.276236e-01	1.565000e-01	1.046249e-01	1.282975e-01	6.812066e-02	8.719444e-02
6.436419e-01	1.922609e-01	1.254967e-01	1.548701e-01	1.029427e-01	1.270372e-01	6.592742e-02	8.486682e-02
6.495156e-01	1.879939e-01	1.221338e-01	1.522887e-01	1.002728e-01	1.250302e-01	6.250706e-02	8.119852e-02
6.500000e-01	1.876459e-01	1.218604e-01	1.520787e-01	1.000551e-01	1.248663e-01	6.223504e-02	8.090556e-02
6.554545e-01	1.837706e-01	1.188236e-01	1.497454e-01	9.763220e-02	1.230393e-01	5.927735e-02	7.770800e-02
