Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
6.065000e+00	2.360000e+00	1.912651e-04	2.055514e-04	2.151417e-04	2.118722e-04
6.065000e+00	2.370000e+00	1.937802e-04	2.081357e-04	2.175432e-04	2.139830e-04
6.065000e+00	2.380000e+00	1.962902e-04	2.107174e-04	2.199419e-04	2.160899e-04
6.065000e+00	2.390000e+00	1.987941e-04	2.132930e-04	2.223349e-04	2.181903e-04
6.065000e+00	2.400000e+00	2.012904e-04	2.158576e-04	2.247190e-04	2.202808e-04
6.065000e+00	2.410000e+00	2.037781e-04	2.184091e-04	2.270927e-04	2.223604e-04
6.065000e+00	2.420000e+00	2.062559e-04	2.209460e-04	2.294549e-04	2.244279e-04
6.065000e+00	2.430000e+00	2.087226e-04	2.234652e-04	2.318035e-04	2.264815e-04
6.065000e+00	2.440000e+00	2.111771e-04	2.259644e-04	2.341369e-04	2.285197e-04
6.065000e+00	2.450000e+00	2.136183e-04	2.284467e-04	2.364564e-04	2.305437e-04
6.065000e+00	2.460000e+00	2.160471e-04	2.309161e-04	2.387642e-04	2.325560e-04
6.065000e+00	2.470000e+00	2.184665e-04	2.333752e-04	2.410637e-04	2.345598e-04
6.065000e+00	2.480000e+00	2.208755e-04	2.358248e-04	2.433572e-04	2.365576e-04
6.065000e+00	2.490000e+00	2.232730e-04	2.382614e-04	2.456418e-04	2.385465e-04
6.065000e+00	2.500000e+00	2.256578e-04	2.406808e-04	2.479137e-04	2.405231e-04
