# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
2.113467 1.44280305e-04 1.29958501e-04 1.43218039e-05 1.84558101e-05 1.42013103e-01 4.26039310e-02
2.117536 1.45130077e-04 1.30823364e-04 1.43067130e-05 1.84555205e-05 1.41072053e-01 4.23216159e-02
2.121605 1.45980986e-04 1.31687807e-04 1.42931796e-05 1.84573267e-05 1.40159724e-01 4.20479173e-02
2.125673 1.46832899e-04 1.32551683e-04 1.42812159e-05 1.84612510e-05 1.39275870e-01 4.17827611e-02
2.129742 1.47685678e-04 1.33414844e-04 1.42708336e-05 1.84673161e-05 1.38420250e-01 4.15260750e-02
2.133811 1.48539183e-04 1.34277138e-04 1.42620448e-05 1.84755444e-05 1.37592629e-01 4.12777887e-02
2.137880 1.49393273e-04 1.35138412e-04 1.42548615e-05 1.84859589e-05 1.36792779e-01 4.10378338e-02
2.141948 1.50247796e-04 1.35998510e-04 1.42492867e-05 1.84985712e-05 1.36020397e-01 4.08061190e-02
2.146017 1.51102603e-04 1.36857274e-04 1.42453284e-05 1.85133991e-05 1.35275229e-01 4.05825687e-02
2.150086 1.51957545e-04 1.37714198e-04 1.42433477e-05 1.85309200e-05 1.34560708e-01 4.03682124e-02
2.154155 1.52811818e-04 1.38568407e-04 1.42434113e-05 1.85512303e-05 1.33877777e-01 4.01633332e-02
2.158223 1.53665881e-04 1.39420542e-04 1.42453384e-05 1.85741039e-05 1.33223581e-01 3.99670744e-02
2.162292 1.54519710e-04 1.40270819e-04 1.42488912e-05 1.85992396e-05 1.32595216e-01 3.97785649e-02
2.166361 1.55373151e-04 1.41119139e-04 1.42540116e-05 1.86265696e-05 1.31991803e-01 3.95975409e-02
2.170430 1.56226084e-04 1.41965405e-04 1.42606795e-05 1.86560756e-05 1.31412830e-01 3.94238490e-02
2.174499 1.57078384e-04 1.42809517e-04 1.42688676e-05 1.86877300e-05 1.30857736e-01 3.92573207e-02
2.178567 1.57929922e-04 1.43651374e-04 1.42785484e-05 1.87215048e-05 1.30325971e-01 3.90977913e-02
2.182636 1.58780569e-04 1.44490874e-04 1.42896945e-05 1.87573718e-05 1.29817000e-01 3.89450999e-02
2.186705 1.59630194e-04 1.45327916e-04 1.43022780e-05 1.87953026e-05 1.29330298e-01 3.87990893e-02
2.190774 1.60478666e-04 1.46162395e-04 1.43162712e-05 1.88352685e-05 1.28865353e-01 3.86596058e-02
2.194842 1.61325821e-04 1.46994205e-04 1.43316162e-05 1.88772015e-05 1.28421400e-01 3.85264199e-02
2.198911 1.62171755e-04 1.47823241e-04 1.43485141e-05 1.89213742e-05 1.27999996e-01 3.83999988e-02
2.202980 1.63015120e-04 1.48648048e-04 1.43670715e-05 1.89679363e-05 1.27602996e-01 3.82808988e-02
2.207049 1.63856652e-04 1.49469464e-04 1.43871880e-05 1.90167646e-05 1.27228426e-01 3.81685277e-02
2.211117 1.64696442e-04 1.50287871e-04 1.44085710e-05 1.90674808e-05 1.26873052e-01 3.80619155e-02
2.215186 1.65534349e-04 1.51103254e-04 1.44310951e-05 1.91199267e-05 1.26535506e-01 3.79606519e-02
2.219255 1.66370280e-04 1.51915576e-04 1.44547035e-05 1.91740342e-05 1.26215064e-01 3.78645192e-02
2.223324 1.67204138e-04 1.52724803e-04 1.44793349e-05 1.92297290e-05 1.25910976e-01 3.77732928e-02
2.227393 1.68035822e-04 1.53530897e-04 1.45049258e-05 1.92869335e-05 1.25622490e-01 3.76867470e-02
2.231461 1.68865234e-04 1.54333822e-04 1.45314123e-05 1.93455696e-05 1.25348866e-01 3.76046598e-02
2.235530 1.69692274e-04 1.55133543e-04 1.45587303e-05 1.94055582e-05 1.25089376e-01 3.75268129e-02
2.239599 1.70516839e-04 1.55930024e-04 1.45868154e-05 1.94668194e-05 1.24843304e-01 3.74529913e-02
2.243668 1.71338833e-04 1.56723228e-04 1.46156046e-05 1.95292754e-05 1.24609961e-01 3.73829884e-02
2.247736 1.72158143e-04 1.57513120e-04 1.46450226e-05 1.95928311e-05 1.24388566e-01 3.73165698e-02
2.251805 1.72973685e-04 1.58298693e-04 1.46749920e-05 1.96573882e-05 1.24179094e-01 3.72537281e-02
2.255874 1.73785544e-04 1.59080101e-04 1.47054423e-05 1.97228574e-05 1.23980669e-01 3.71942007e-02
2.259943 1.74594387e-04 1.59858059e-04 1.47363281e-05 1.97891826e-05 1.23792211e-01 3.71376632e-02
2.264011 1.75400329e-04 1.60632735e-04 1.47675938e-05 1.98562936e-05 1.23612996e-01 3.70838988e-02
2.268080 1.76203348e-04 1.61404173e-04 1.47991746e-05 1.99241077e-05 1.23442333e-01 3.70326999e-02
2.272149 1.77003423e-04 1.62172418e-04 1.48310054e-05 1.99925413e-05 1.23279541e-01 3.69838623e-02
2.276218 1.77800537e-04 1.62937516e-04 1.48630212e-05 2.00615105e-05 1.23123950e-01 3.69371849e-02
2.280287 1.78594672e-04 1.63699515e-04 1.48951567e-05 2.01309308e-05 1.22974896e-01 3.68924688e-02
2.284355 1.79385810e-04 1.64458464e-04 1.49273463e-05 2.02007166e-05 1.22831724e-01 3.68495171e-02
2.288424 1.80173936e-04 1.65214412e-04 1.49595239e-05 2.02707814e-05 1.22693784e-01 3.68081351e-02
2.292493 1.80959028e-04 1.65967413e-04 1.49916142e-05 2.03410254e-05 1.22560357e-01 3.67681070e-02
2.296562 1.81741105e-04 1.66717519e-04 1.50235856e-05 2.04114082e-05 1.22431093e-01 3.67293280e-02
2.300630 1.82519733e-04 1.67464278e-04 1.50554550e-05 2.04819549e-05 1.22306411e-01 3.66919234e-02
2.304699 1.83294212e-04 1.68206971e-04 1.50872408e-05 2.05526928e-05 1.22186927e-01 3.66560780e-02
2.308768 1.84065572e-04 1.68946817e-04 1.51187550e-05 2.06233678e-05 1.22070176e-01 3.66210529e-02
2.312837 1.84833967e-04 1.69684154e-04 1.51498131e-05 2.06937293e-05 1.21954400e-01 3.65863201e-02
2.316905 1.85599460e-04 1.70419125e-04 1.51803349e-05 2.07636679e-05 1.21838837e-01 3.65516510e-02
2.320974 1.86362113e-04 1.71151875e-04 1.52102380e-05 2.08330705e-05 1.21722713e-01 3.65168138e-02
2.325043 1.87121989e-04 1.71882553e-04 1.52394368e-05 2.09018191e-05 1.21605240e-01 3.64815721e-02
2.329112 1.87879156e-04 1.72611311e-04 1.52678452e-05 2.09697946e-05 1.21485635e-01 3.64456904e-02
2.333181 1.88633679e-04 1.73338302e-04 1.52953768e-05 2.10368765e-05 1.21363116e-01 3.64089348e-02
2.337249 1.89385630e-04 1.74063685e-04 1.53219449e-05 2.11029430e-05 1.21236908e-01 3.63710723e-02
2.341318 1.90135094e-04 1.74787620e-04 1.53474740e-05 2.11678874e-05 1.21106331e-01 3.63318994e-02
2.345387 1.90882114e-04 1.75510268e-04 1.53718455e-05 2.12315427e-05 1.20970374e-01 3.62911121e-02
2.349456 1.91626622e-04 1.76231797e-04 1.53948257e-05 2.12935819e-05 1.20827129e-01 3.62481386e-02
2.353524 1.92366560e-04 1.76950556e-04 1.54160036e-05 2.13534301e-05 1.20674558e-01 3.62023674e-02
2.357593 1.93103774e-04 1.77668325e-04 1.54354483e-05 2.14111753e-05 1.20512057e-01 3.61536170e-02
2.361662 1.93839118e-04 1.78385626e-04 1.54534925e-05 2.14672720e-05 1.20341939e-01 3.61025816e-02
2.365731 1.94572798e-04 1.79102727e-04 1.54700714e-05 2.15216244e-05 1.20163578e-01 3.60490733e-02
2.369799 1.95305027e-04 1.79819898e-04 1.54851288e-05 2.15741479e-05 1.19976422e-01 3.59929265e-02
2.373868 1.96036026e-04 1.80537411e-04 1.54986144e-05 2.16247657e-05 1.19779970e-01 3.59339910e-02
2.377937 1.96766022e-04 1.81255545e-04 1.55104776e-05 2.16734001e-05 1.19573722e-01 3.58721165e-02
2.382006 1.97495248e-04 1.81974580e-04 1.55206677e-05 2.17199724e-05 1.19357179e-01 3.58071536e-02
2.386074 1.98223937e-04 1.82694803e-04 1.55291336e-05 2.17644033e-05 1.19129844e-01 3.57389532e-02
2.390143 1.98952329e-04 1.83416505e-04 1.55358244e-05 2.18066129e-05 1.18891225e-01 3.56673675e-02
2.394212 1.99680669e-04 1.84139981e-04 1.55406887e-05 2.18465201e-05 1.18640829e-01 3.55922488e-02
2.398281 2.00409197e-04 1.84865531e-04 1.55436665e-05 2.18840311e-05 1.18378105e-01 3.55134314e-02
2.402350 2.01136801e-04 1.85592137e-04 1.55446638e-05 2.19190037e-05 1.18103084e-01 3.54309251e-02
2.406418 2.01864267e-04 1.86320647e-04 1.55436198e-05 2.19513413e-05 1.17814862e-01 3.53444585e-02
2.410487 2.02592777e-04 1.87052228e-04 1.55405497e-05 2.19810541e-05 1.17512923e-01 3.52538770e-02
2.414556 2.03322744e-04 1.87787342e-04 1.55354028e-05 2.20080594e-05 1.17196714e-01 3.51590142e-02
2.418625 2.04054533e-04 1.88526403e-04 1.55281303e-05 2.20322759e-05 1.16865731e-01 3.50597193e-02
2.422693 2.04788517e-04 1.89269833e-04 1.55186833e-05 2.20536222e-05 1.16519478e-01 3.49558434e-02
2.426762 2.05525072e-04 1.90018059e-04 1.55070129e-05 2.20720157e-05 1.16157463e-01 3.48472389e-02
2.430831 2.06264584e-04 1.90771515e-04 1.54930698e-05 2.20873731e-05 1.15779198e-01 3.47337595e-02
2.434900 2.07007443e-04 1.91530638e-04 1.54768046e-05 2.20996098e-05 1.15384201e-01 3.46152604e-02
2.438968 2.07754044e-04 1.92295877e-04 1.54581677e-05 2.21086404e-05 1.14971994e-01 3.44915982e-02
2.443037 2.08504791e-04 1.93067682e-04 1.54371089e-05 2.21143785e-05 1.14542104e-01 3.43626312e-02
2.447106 2.09260091e-04 1.93846512e-04 1.54135783e-05 2.21167366e-05 1.14094065e-01 3.42282195e-02
2.451175 2.10020359e-04 1.94632833e-04 1.53875252e-05 2.21156261e-05 1.13627417e-01 3.40882251e-02
2.455244 2.10786015e-04 1.95427116e-04 1.53588992e-05 2.21109574e-05 1.13141706e-01 3.39425119e-02
2.459312 2.11557488e-04 1.96229839e-04 1.53276493e-05 2.21026397e-05 1.12636487e-01 3.37909462e-02
2.463381 2.12335210e-04 1.97041486e-04 1.52937243e-05 2.20905814e-05 1.12111322e-01 3.36333965e-02
2.467450 2.13119621e-04 1.97862548e-04 1.52570729e-05 2.20746894e-05 1.11565780e-01 3.34697339e-02
2.471519 2.13911167e-04 1.98693523e-04 1.52176434e-05 2.20548698e-05 1.10999440e-01 3.32998320e-02
2.475587 2.14710300e-04 1.99534916e-04 1.51753841e-05 2.20310273e-05 1.10411890e-01 3.31235671e-02
2.479656 2.15517480e-04 2.00387238e-04 1.51302428e-05 2.20030657e-05 1.09802730e-01 3.29408189e-02
2.483725 2.16333172e-04 2.01251005e-04 1.50821672e-05 2.19708873e-05 1.09171565e-01 3.27514696e-02
2.487794 2.17157848e-04 2.02126744e-04 1.50311047e-05 2.19343935e-05 1.08518017e-01 3.25554052e-02
2.491862 2.17991987e-04 2.03014984e-04 1.49770026e-05 2.18934843e-05 1.07841716e-01 3.23525148e-02
2.495931 2.18836073e-04 2.03916265e-04 1.49198078e-05 2.18480586e-05 1.07142305e-01 3.21426914e-02
2.500000 2.19690599e-04 2.04831131e-04 1.48594671e-05 2.17980140e-05 1.06419438e-01 3.19258315e-02
