# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.344470 1.79446145e-05 1.72014985e-05 7.43116010e-07 8.47006090e-07 4.92402503e-02 1.47720751e-02
1.348539 1.84176390e-05 1.76547589e-05 7.62880050e-07 8.69858833e-07 4.92705019e-02 1.47811506e-02
1.352607 1.88999457e-05 1.81180257e-05 7.81920051e-07 8.91904537e-07 4.92274685e-02 1.47682405e-02
1.356676 1.93860871e-05 1.85861774e-05 7.99909695e-07 9.12770063e-07 4.91101556e-02 1.47330467e-02
1.360745 1.98696286e-05 1.90531809e-05 8.16447638e-07 9.31996055e-07 4.89155096e-02 1.46746529e-02
1.364814 2.03443607e-05 1.95132123e-05 8.31148362e-07 9.49140512e-07 4.86409155e-02 1.45922747e-02
1.368883 2.08048905e-05 1.99610628e-05 8.43827688e-07 9.63990744e-07 4.82935581e-02 1.44880674e-02
1.372951 2.12448824e-05 2.03906645e-05 8.54217965e-07 9.76238313e-07 4.78767288e-02 1.43630187e-02
1.377020 2.16605148e-05 2.07983617e-05 8.62153070e-07 9.85690350e-07 4.73926919e-02 1.42178076e-02
1.381089 2.20487143e-05 2.11812290e-05 8.67485380e-07 9.92174811e-07 4.68421739e-02 1.40526522e-02
1.385158 2.24055066e-05 2.15354665e-05 8.70040111e-07 9.95488272e-07 4.62255263e-02 1.38676579e-02
1.389226 2.27345669e-05 2.18644748e-05 8.70092096e-07 9.95941603e-07 4.55506758e-02 1.36652027e-02
1.393295 2.30359928e-05 2.21682691e-05 8.67723734e-07 9.93625773e-07 4.48219826e-02 1.34465948e-02
1.397364 2.33151249e-05 2.24518943e-05 8.63230630e-07 9.88876100e-07 4.40442168e-02 1.32132651e-02
1.401433 2.35787951e-05 2.27218145e-05 8.56980525e-07 9.82111079e-07 4.32232680e-02 1.29669804e-02
1.405501 2.38330693e-05 2.29837823e-05 8.49287020e-07 9.73687781e-07 4.23641230e-02 1.27092369e-02
1.409570 2.40881754e-05 2.32476881e-05 8.40487277e-07 9.63990855e-07 4.14660955e-02 1.24398287e-02
1.413639 2.43528808e-05 2.35219716e-05 8.30909267e-07 9.53395014e-07 4.05321047e-02 1.21596314e-02
1.417708 2.46367909e-05 2.38159240e-05 8.20866881e-07 9.42259407e-07 3.95642599e-02 1.18692780e-02
1.421777 2.49497495e-05 2.41390612e-05 8.10688294e-07 9.30960169e-07 3.85665442e-02 1.15699632e-02
1.425845 2.53016608e-05 2.45010022e-05 8.00658574e-07 9.19824530e-07 3.75423227e-02 1.12626968e-02
1.429914 2.57026017e-05 2.49116852e-05 7.90916571e-07 9.09012215e-07 3.64893908e-02 1.09468172e-02
1.433983 2.61626538e-05 2.53809921e-05 7.81661714e-07 8.98752874e-07 3.54104706e-02 1.06231412e-02
1.438052 2.66932756e-05 2.59202538e-05 7.73021864e-07 8.89194220e-07 3.43049967e-02 1.02914990e-02
1.442120 2.73054885e-05 2.65403700e-05 7.65118428e-07 8.80476803e-07 3.31750010e-02 9.95250030e-03
1.446189 2.80123749e-05 2.72542861e-05 7.58088849e-07 8.72759879e-07 3.20228487e-02 9.60685461e-03
1.450258 2.88303670e-05 2.80782919e-05 7.52075090e-07 8.66208194e-07 3.08497468e-02 9.25492403e-03
1.454327 2.97741847e-05 2.90269770e-05 7.47207697e-07 8.60973640e-07 2.96611541e-02 8.89834624e-03
1.458395 3.08674341e-05 3.01237354e-05 7.43698673e-07 8.57302283e-07 2.84593617e-02 8.53780852e-03
1.462464 3.21295057e-05 3.13877696e-05 7.41736058e-07 8.55413002e-07 2.72530675e-02 8.17592024e-03
1.466533 3.35960375e-05 3.28544934e-05 7.41544118e-07 8.55566877e-07 2.60410917e-02 7.81232752e-03
1.470602 3.53016998e-05 3.45583804e-05 7.43319336e-07 8.57993400e-07 2.48273614e-02 7.44820842e-03
1.474670 3.72784552e-05 3.65312057e-05 7.47249496e-07 8.62912456e-07 2.36212421e-02 7.08637264e-03
1.478739 3.98416454e-05 3.90872520e-05 7.54393348e-07 8.71550577e-07 2.22975659e-02 6.68926976e-03
1.482808 4.33658122e-05 4.25999565e-05 7.65855632e-07 8.85189686e-07 2.07791218e-02 6.23373654e-03
1.486877 4.75039619e-05 4.67228414e-05 7.81120454e-07 9.03240062e-07 1.93318736e-02 5.79956207e-03
1.490946 5.10039384e-05 5.02057868e-05 7.98151551e-07 9.23352127e-07 1.83913486e-02 5.51740458e-03
1.495014 5.30810078e-05 5.22652667e-05 8.15741107e-07 9.44130913e-07 1.80642131e-02 5.41926392e-03
1.499083 5.45652730e-05 5.37319808e-05 8.33292234e-07 9.64886337e-07 1.79573938e-02 5.38721813e-03
1.503152 5.58524084e-05 5.50023276e-05 8.50080752e-07 9.84779585e-07 1.79043256e-02 5.37129769e-03
1.507221 5.69805064e-05 5.61154252e-05 8.65081233e-07 1.00262115e-06 1.78671220e-02 5.36013660e-03
1.511289 5.77690517e-05 5.68921570e-05 8.76894724e-07 1.01678618e-06 1.78721678e-02 5.36165034e-03
1.515358 5.81716235e-05 5.72871536e-05 8.84469891e-07 1.02605002e-06 1.79106475e-02 5.37319426e-03
1.519427 5.82431803e-05 5.73552141e-05 8.87966274e-07 1.03059102e-06 1.79685672e-02 5.39057016e-03
1.523496 5.79996232e-05 5.71125734e-05 8.87049713e-07 1.03001453e-06 1.80348121e-02 5.41044364e-03
1.527564 5.74965154e-05 5.66141572e-05 8.82358159e-07 1.02505442e-06 1.81059733e-02 5.43179198e-03
1.531633 5.68082256e-05 5.59333555e-05 8.74870037e-07 1.01684159e-06 1.81795206e-02 5.45385618e-03
1.535702 5.59946963e-05 5.51293842e-05 8.65312034e-07 1.00621634e-06 1.82519061e-02 5.47557183e-03
1.539771 5.51058524e-05 5.42512469e-05 8.54605489e-07 9.94247019e-07 1.83267128e-02 5.49801383e-03
1.543840 5.41969913e-05 5.33534168e-05 8.43574481e-07 9.81890787e-07 1.84035221e-02 5.52105663e-03
1.547908 5.32983563e-05 5.24656991e-05 8.32657199e-07 9.69657289e-07 1.84817377e-02 5.54452131e-03
1.551977 5.24382350e-05 5.16160253e-05 8.22209675e-07 9.57961441e-07 1.85593803e-02 5.56781408e-03
1.556046 5.16423641e-05 5.08297226e-05 8.12641499e-07 9.47281414e-07 1.86363679e-02 5.59091038e-03
1.560115 5.09176640e-05 5.01132821e-05 8.04381906e-07 9.38119246e-07 1.87199722e-02 5.61599165e-03
1.564183 5.02788218e-05 4.94809999e-05 7.97821892e-07 9.30933376e-07 1.88139564e-02 5.64418692e-03
1.568252 4.97335329e-05 4.89405881e-05 7.92944783e-07 9.25707257e-07 1.89149189e-02 5.67447568e-03
1.572321 4.92893947e-05 4.84996943e-05 7.89700362e-07 9.22385159e-07 1.90183706e-02 5.70551117e-03
1.576390 4.89541616e-05 4.81660297e-05 7.88131860e-07 9.21020473e-07 1.91217852e-02 5.73653555e-03
1.580458 4.87335198e-05 4.79451859e-05 7.88333916e-07 9.21726836e-07 1.92245961e-02 5.76737884e-03
1.584527 4.86343237e-05 4.78439538e-05 7.90369883e-07 9.24581544e-07 1.93249402e-02 5.79748205e-03
1.588596 4.86651804e-05 4.78709554e-05 7.94224978e-07 9.29570636e-07 1.94182595e-02 5.82547786e-03
1.592665 4.88349758e-05 4.80351122e-05 7.99863560e-07 9.36655728e-07 1.94993971e-02 5.84981913e-03
1.596734 4.91508527e-05 4.83434303e-05 8.07422347e-07 9.46000330e-07 1.95683327e-02 5.87049982e-03
1.600802 4.96190020e-05 4.88021531e-05 8.16848988e-07 9.57546691e-07 1.96209927e-02 5.88629782e-03
1.604871 5.02456202e-05 4.94171947e-05 8.28425473e-07 9.71629109e-07 1.96617617e-02 5.89852852e-03
1.608940 5.10326801e-05 5.01880358e-05 8.44644255e-07 9.91176571e-07 1.97492601e-02 5.92477802e-03
1.613009 5.19827303e-05 5.11149142e-05 8.67816109e-07 1.01891103e-06 1.99337326e-02 5.98011979e-03
1.617077 5.30993084e-05 5.22023650e-05 8.96943405e-07 1.05367386e-06 2.01844085e-02 6.05532256e-03
1.621146 5.43982420e-05 5.34702694e-05 9.27972566e-07 1.09071219e-06 2.03984793e-02 6.11954380e-03
1.625215 5.58793127e-05 5.49202203e-05 9.59092464e-07 1.12790008e-06 2.05370641e-02 6.16111922e-03
1.629284 5.74911384e-05 5.65000216e-05 9.91116805e-07 1.16619554e-06 2.06406212e-02 6.19218635e-03
1.633352 5.91950986e-05 5.81709329e-05 1.02416569e-06 1.20574209e-06 2.07275701e-02 6.21827102e-03
1.637421 6.09569365e-05 5.98990854e-05 1.05785111e-06 1.24608504e-06 2.08030728e-02 6.24092185e-03
1.641490 6.27434388e-05 6.16519274e-05 1.09151138e-06 1.28644620e-06 2.08662771e-02 6.25988314e-03
1.645559 6.45198181e-05 6.33950788e-05 1.12473930e-06 1.32634576e-06 2.09219040e-02 6.27657121e-03
1.649628 6.62481964e-05 6.50907962e-05 1.15740018e-06 1.36562432e-06 2.09802983e-02 6.29408948e-03
1.653696 6.78914480e-05 6.67021802e-05 1.18926779e-06 1.40401413e-06 2.10489991e-02 6.31469974e-03
1.657765 6.94225849e-05 6.82025251e-05 1.22005978e-06 1.44118048e-06 2.11308963e-02 6.33926889e-03
1.661834 7.08134129e-05 6.95640302e-05 1.24938272e-06 1.47665661e-06 2.12273011e-02 6.36819032e-03
1.665903 7.20424958e-05 7.07654259e-05 1.27706995e-06 1.51024285e-06 2.13415355e-02 6.40246066e-03
1.669971 7.31361683e-05 7.18329584e-05 1.30320994e-06 1.54204095e-06 2.14670394e-02 6.44011182e-03
1.674040 7.40879732e-05 7.27601299e-05 1.32784329e-06 1.57209617e-06 2.16065608e-02 6.48196824e-03
1.678109 7.47301527e-05 7.33785390e-05 1.35161365e-06 1.60116822e-06 2.18206610e-02 6.54619830e-03
1.682178 7.47059908e-05 7.33304388e-05 1.37555202e-06 1.63047776e-06 2.22346652e-02 6.67039956e-03
