# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.409570 2.38062068e-05 2.16039433e-05 2.20226355e-06 2.52587039e-06 1.16917100e-01 3.50751299e-02
1.413639 2.40456680e-05 2.18441733e-05 2.20149473e-06 2.52602081e-06 1.15638197e-01 3.46914591e-02
1.417708 2.43019107e-05 2.21025457e-05 2.19936494e-06 2.52461434e-06 1.14222786e-01 3.42668357e-02
1.421777 2.45845653e-05 2.23878582e-05 2.19670709e-06 2.52260556e-06 1.12677396e-01 3.38032187e-02
1.425845 2.49032572e-05 2.27089825e-05 2.19427472e-06 2.52085943e-06 1.11007150e-01 3.33021450e-02
1.429914 2.52675162e-05 2.30750650e-05 2.19245122e-06 2.51981689e-06 1.09200858e-01 3.27602574e-02
1.433983 2.56869872e-05 2.34951794e-05 2.19180780e-06 2.52013566e-06 1.07261818e-01 3.21785454e-02
1.438052 2.61724597e-05 2.39797203e-05 2.19273932e-06 2.52227165e-06 1.05183531e-01 3.15550592e-02
1.442120 2.67343024e-05 2.45386620e-05 2.19564040e-06 2.52668132e-06 1.02967363e-01 3.08902090e-02
1.446189 2.73848189e-05 2.51838486e-05 2.20097032e-06 2.53389638e-06 1.00615931e-01 3.01847793e-02
1.450258 2.81394129e-05 2.59301903e-05 2.20922261e-06 2.54448891e-06 9.81284320e-02 2.94385296e-02
1.454327 2.90118777e-05 2.67909985e-05 2.22087923e-06 2.55901871e-06 9.55178551e-02 2.86553565e-02
1.458395 3.00243708e-05 2.77876822e-05 2.23668865e-06 2.57835379e-06 9.27876520e-02 2.78362956e-02
1.462464 3.11951061e-05 2.89377458e-05 2.25736032e-06 2.60331872e-06 8.99627338e-02 2.69888201e-02
1.466533 3.25573481e-05 3.02736013e-05 2.28374678e-06 2.63490473e-06 8.70363819e-02 2.61109146e-02
1.470602 3.41433870e-05 3.18267350e-05 2.31665193e-06 2.67404865e-06 8.40189433e-02 2.52056830e-02
1.474670 3.59829814e-05 3.36260943e-05 2.35688710e-06 2.72169770e-06 8.09400485e-02 2.42820145e-02
1.478739 3.83685669e-05 3.59604885e-05 2.40807844e-06 2.78205284e-06 7.73641561e-02 2.32092468e-02
